date (float),date (string),latitude,longitude,ekman_upwelling,wind_u,wind_v,sst,wind_speed,sst_diff,sst_decrease,upwelling1day,upwelling3day
19040,2022-02-17,34.833,-123.833,-3.4931234e-06,0.61,-7.88,12.65,7.903575140403234,-0.03999999999999915,True,1,0
19041,2022-02-18,34.833,-123.833,-5.330052e-07,-2.35,-3.49,12.6,4.2074457809935,-0.05000000000000071,True,0,0
19042,2022-02-19,34.833,-123.833,-1.4026928e-06,1.08,-5.89,12.61,5.988196723555431,0.009999999999999787,False,0,0
19043,2022-02-20,34.833,-123.833,3.6971273e-06,2.62,-5.89,12.73,6.446433122277776,0.120000000000001,False,0,0
19044,2022-02-21,34.833,-123.833,-2.526137441753986e-06,4.24,-11.53,12.74,12.284889091888457,0.009999999999999787,False,0,0
19045,2022-02-22,34.833,-123.833,-1.7637784e-06,5.77,-8.85,12.73,10.564818976205887,-0.009999999999999787,True,1,0
19046,2022-02-23,34.833,-123.833,2.001432e-06,7.36,-10.43,12.66,12.765363292911017,-0.07000000000000028,True,1,0
19047,2022-02-24,34.833,-123.833,-1.1152171e-06,2.86,-3.3,12.6,4.366875313081425,-0.0600000000000005,True,0,0
19048,2022-02-25,34.833,-123.833,-2.2313002e-06,2.73,-4.92,12.55,5.626659755130036,-0.049999999999998934,True,1,0
19049,2022-02-26,34.833,-123.833,-2.526137441753986e-06,-0.014,6.719,12.53,6.719014585487964,-0.02000000000000135,True,0,0
19050,2022-02-27,34.833,-123.833,2.4849845e-07,2.9,-3.18,12.5,4.303765792884181,-0.02999999999999936,True,0,0
19051,2022-02-28,34.833,-123.833,-2.526137441753986e-06,-0.014,6.719,12.58,6.719014585487964,0.08000000000000007,False,0,0
19052,2022-03-01,34.833,-123.833,-2.2178726e-06,2.86,-2.66,12.19,3.905790572982632,-0.39000000000000057,True,0,0
19053,2022-03-02,34.833,-123.833,-3.6608076e-06,2.35,-4.92,12.24,5.452421480406664,0.05000000000000071,False,0,0
19054,2022-03-03,34.833,-123.833,7.1943264e-06,4.0,-1.31,12.65,4.209049773998878,0.41000000000000014,False,0,0
19055,2022-03-04,34.833,-123.833,1.3794995e-06,5.34,-13.34,12.48,14.369105748097201,-0.16999999999999993,True,1,0
19056,2022-03-05,34.833,-123.833,-2.526137441753986e-06,-0.014,6.719,12.38,6.719014585487964,-0.09999999999999964,True,0,0
19057,2022-03-06,34.833,-123.833,-4.282725e-06,3.37,-8.22,12.31,8.883991220166756,-0.07000000000000028,True,1,0
19058,2022-03-07,34.833,-123.833,5.6118997e-06,3.62,-8.71,12.35,9.43231148764713,0.03999999999999915,False,0,0
19059,2022-03-08,34.833,-123.833,-2.9649766e-06,3.36,-6.77,12.61,7.557942841805566,0.2599999999999998,False,0,0
19060,2022-03-09,34.833,-123.833,-2.526137441753986e-06,-0.014,6.719,12.67,6.719014585487964,0.0600000000000005,False,0,0
19061,2022-03-10,34.833,-123.833,-2.526137441753986e-06,-0.014,6.719,12.58,6.719014585487964,-0.08999999999999986,True,0,0
19062,2022-03-11,34.833,-123.833,3.888574e-07,2.99,-2.16,12.8,3.6885905167150232,0.22000000000000064,False,0,0
19063,2022-03-12,34.833,-123.833,-9.7649206e-08,-1.39,-0.98,12.76,1.7007351351694948,-0.040000000000000924,True,0,0
19064,2022-03-13,34.833,-123.833,-2.5042812e-07,2.96,-1.67,12.71,3.3986026540329775,-0.049999999999998934,True,0,0
19065,2022-03-14,34.833,-123.833,-2.526137441753986e-06,-0.014,6.719,12.95,6.719014585487964,0.23999999999999844,False,0,0
19066,2022-03-15,34.833,-123.833,8.455337e-07,4.09,-4.0,13.03,5.720847839262988,0.08000000000000007,False,0,0
19067,2022-03-16,34.833,-123.833,-2.526137441753986e-06,-0.014,6.719,13.17,6.719014585487964,0.14000000000000057,False,0,0
19068,2022-03-17,34.833,-123.833,-2.526137441753986e-06,3.9,-9.07,13.23,9.872937759350052,0.0600000000000005,False,0,0
19069,2022-03-18,34.833,-123.833,-1.5868049e-07,0.85,-3.22,13.24,3.33030028676094,0.009999999999999787,False,0,0
19070,2022-03-19,34.833,-123.833,1.2328372e-06,1.92,-4.32,13.21,4.7274517448621305,-0.02999999999999936,True,0,0
19071,2022-03-20,34.833,-123.833,-3.558335e-06,3.52,-12.71,13.08,13.18842295348462,-0.13000000000000078,True,1,0
19072,2022-03-21,34.833,-123.833,-4.7311214e-06,4.99,-13.07,13.27,13.990175123993266,0.1899999999999995,False,0,0
19073,2022-03-22,34.833,-123.833,-2.526137441753986e-06,3.28,-11.21,13.27,11.680004280821134,0.0,False,0,0
19074,2022-03-23,34.833,-123.833,-2.526137441753986e-06,-0.014,6.719,13.13,6.719014585487964,-0.1399999999999988,True,0,0
19075,2022-03-24,34.833,-123.833,7.741658e-08,1.65,-8.39,13.27,8.55070757306084,0.1399999999999988,False,0,0
19076,2022-03-25,34.833,-123.833,2.9649939e-06,1.65,-8.47,12.91,8.629217809280282,-0.35999999999999943,True,1,0
19077,2022-03-26,34.833,-123.833,4.1824146e-06,2.71,-6.56,12.77,7.0977249876280775,-0.14000000000000057,True,1,0
19078,2022-03-27,34.833,-123.833,-2.526137441753986e-06,-0.014,6.719,13.1,6.719014585487964,0.33000000000000007,False,0,0
19079,2022-03-28,34.833,-123.833,1.8588597e-05,3.14,-0.12,13.29,3.1422921570089564,0.1899999999999995,False,0,0
19080,2022-03-29,34.833,-123.833,-2.526137441753986e-06,-0.014,6.719,13.27,6.719014585487964,-0.019999999999999574,True,0,0
19081,2022-03-30,34.833,-123.833,1.209791e-06,2.99,-8.99,13.2,9.474185980864004,-0.07000000000000028,True,1,0
19082,2022-03-31,34.833,-123.833,2.7885635e-06,4.9,-11.39,13.2,12.399278204798858,0.0,False,0,0
19083,2022-04-01,34.833,-123.833,-2.9022388e-07,3.71,-11.92,13.0,12.484009772504987,-0.1999999999999993,True,1,0
19084,2022-04-02,34.833,-123.833,1.0129034e-05,3.62,-11.69,12.9,12.237667261369708,-0.09999999999999964,True,1,0
19085,2022-04-03,34.833,-123.833,-2.526137441753986e-06,-0.014,6.719,12.79,6.719014585487964,-0.11000000000000121,True,0,0
19086,2022-04-04,34.833,-123.833,-9.314799e-07,3.12,-8.86,12.88,9.393295481352643,0.09000000000000163,False,0,0
19087,2022-04-05,34.833,-123.833,-8.128366e-06,2.23,-9.99,12.74,10.235868307085628,-0.14000000000000057,True,1,0
19088,2022-04-06,34.833,-123.833,-1.6340714e-06,1.6,-10.01,12.92,10.137065650374373,0.17999999999999972,False,0,0
